,0,1,2,3,4,5,6,7
0,--,--,--,0.07,0.08,--,--,0.00
1,0.19,--,0.11,0.25,0.26,0.20,0.18,0.20
2,0.09,--,--,0.15,0.16,0.10,0.07,0.09
3,--,--,--,--,--,--,--,--
4,--,--,--,--,--,--,--,--
5,--,--,--,0.05,0.06,--,--,--
6,0.01,--,--,0.08,0.09,0.03,--,0.02
7,--,--,--,0.06,0.07,--,--,--
