,0,1,2,3,4,5,6,7
0,--,--,0.01,0.08,--,0.08,0.11,--
1,0.12,--,0.14,0.19,0.10,0.19,0.22,0.06
2,--,--,--,0.06,--,0.06,0.09,--
3,--,--,--,--,--,--,--,--
4,--,--,0.04,0.10,--,0.10,0.13,--
5,--,--,--,--,--,--,0.03,--
6,--,--,--,--,--,--,--,--
7,0.06,--,0.08,0.13,0.04,0.14,0.17,--
