,外部,舒适,精细,保障,外观,服务,沟通,耐久,响应,补偿,牌证,信息
ALBD,2.57,3.86,6.43,8.23,15.94,21.08,22.37,26.87,29.87,35.01,38.87,41.44
AND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29
AT,7.2,13.2,17.06,24.77,30.77,34.63,40.63,41.92,47.06,48.56,50.06,57.26
BNL,1.29,10.29,19.29,23.79,27.65,35.15,42.65,51.65,60.65,69.65,77.36,81.22
GRN,7.2,13.2,14.49,14.49,17.06,17.06,21.56,30.56,33.56,35.36,40.5,47.7
LN,5.4,8.4,14.83,23.83,32.83,40.33,49.33,54.73,62.23,69.73,76.16,85.16
QPL,9.0,12.0,19.71,25.71,31.71,40.71,47.46,50.03,59.03,66.53,75.53,82.73
TB,5.4,13.11,18.25,21.25,22.54,25.11,27.68,33.68,34.97,37.97,39.47,39.47
