,0,1,2,3,4,5,6,7
0,--,--,0.02,0.31,--,0.16,0.26,0.05
1,0.19,--,0.21,0.44,0.15,0.32,0.40,0.23
2,--,--,--,0.29,--,0.14,0.24,0.03
3,--,--,--,--,--,--,--,--
4,0.05,--,0.07,0.34,--,0.20,0.30,0.10
5,--,--,--,0.17,--,--,0.11,--
6,--,--,--,0.06,--,--,--,--
7,--,--,--,0.27,--,0.11,0.21,--
