,ALBD,AND,AT,BNL,GRN,LN,QPL,TB
消极,0.11611541168191415,0.05254237288135593,0.13296639629200463,0.17228029423151375,0.12417784793475402,0.16060066174599136,0.16771985255397578,0.11026392961876832
中性,0.16924700914848698,0.12101694915254237,0.1633835457705678,0.18041037553232675,0.12154696132596685,0.20565029269534232,0.2493417588204318,0.09237536656891496
积极,0.7146375791695989,0.8264406779661017,0.7036500579374276,0.6473093302361596,0.7542751907392792,0.6337490455586663,0.5829383886255924,0.7973607038123167
