,ALBD,AND,AT,BNL,GRN,LN,QPL,TB
ALBD,--,--,--,--,--,FSD,--,--
AND,FSD,--,FSD,FSD,FSD,FSD,FSD,FSD
AT,FSD,--,--,--,--,FSD,--,--
BNL,FSD,--,FSD,--,--,FSD,FSD,--
GRN,FSD,--,FSD,FSD,--,FSD,FSD,--
LN,--,--,--,--,--,--,--,--
QPL,SSD,--,--,--,--,FSD,--,--
TB,FSD,--,FSD,FSD,FSD,FSD,FSD,--
