,ALBD,AND,AT,BNL,GRN,LN,QPL,TB
消极,0.06912144702842377,0.030916245081506463,0.06666666666666667,0.12111637704054766,0.04479114242576749,0.1295296838858905,0.137104506232023,0.05924713584288052
中性,0.28552971576227393,0.1765036537380551,0.16827586206896553,0.3228014744602422,0.09008555611474585,0.29298380878951424,0.37775647171620325,0.14042553191489363
积极,0.6453488372093024,0.7925801011804384,0.7650574712643678,0.5560821484992101,0.8651233014594867,0.5774865073245952,0.4851390220517737,0.8003273322422259
