,ALBD,AND,AT,BNL,GRN,LN,QPL,TB
ALBD,--,--,FSD,FSD,FSD,FSD,FSD,--
AND,FSD,--,FSD,FSD,FSD,FSD,FSD,--
AT,--,--,--,--,--,FSD,--,--
BNL,--,--,FSD,--,FSD,FSD,FSD,--
GRN,--,--,--,--,--,FSD,--,--
LN,--,--,--,--,--,--,--,--
QPL,--,--,--,--,--,SSD,--,--
TB,FSD,FSD,FSD,FSD,FSD,FSD,FSD,--
