,ALBD,AND,AT,BNL,GRN,LN,QPL,TB
ALBD,0,1,0,0,0,0,0,0
AND,0,0,0,0,0,0,0,0
AT,0,1,0,0,0,0,0,0
BNL,0,1,0,0,0,0,0,0
GRN,0,1,0,0,0,0,0,0
LN,1,0,0,0,0,0,0,0
QPL,0,1,0,0,0,0,0,0
TB,0,0,0,0,0,0,0,0
