,ALBD,AND,AT,BNL,GRN,LN,QPL,TB
ALBD,--,--,FSD,FSD,--,FSD,FSD,FSD
AND,FSD,--,FSD,FSD,FSD,FSD,FSD,FSD
AT,--,--,--,FSD,--,FSD,FSD,FSD
BNL,--,--,--,--,--,--,--,--
GRN,FSD,--,FSD,FSD,--,FSD,FSD,FSD
LN,--,--,--,FSD,--,--,FSD,--
QPL,--,--,--,FSD,--,--,--,--
TB,--,--,--,FSD,--,FSD,FSD,--
