,ALBD,AND,AT,BNL,GRN,LN,QPL,TB
ALBD,--,--,FSD,FSD,FSD,FSD,FSD,FSD
AND,FSD,--,FSD,FSD,FSD,FSD,FSD,FSD
AT,--,--,--,FSD,--,FSD,--,--
BNL,--,--,--,--,--,FSD,--,--
GRN,--,--,FSD,FSD,--,FSD,--,--
LN,--,--,--,--,--,--,--,--
QPL,--,--,--,--,--,SSD,--,--
TB,--,--,FSD,FSD,SSD,FSD,FSD,--
