,ALBD,AND,AT,BNL,GRN,LN,QPL,TB
ALBD,1,1,0,0,0,0,0,0
AND,0,1,0,0,0,0,0,0
AT,1,1,1,0,1,0,0,0
BNL,0,1,0,1,0,0,0,0
GRN,0,1,0,0,1,0,0,0
LN,1,1,0,0,0,1,0,0
QPL,1,1,0,0,0,0,1,0
TB,0,1,0,0,0,0,0,1
