,0,1,2,3,4,5,6,7
0,--,--,--,0.29,0.02,0.14,0.30,--
1,0.26,--,0.21,0.47,0.27,0.37,0.48,0.19
2,0.06,--,--,0.33,0.07,0.20,0.34,--
3,--,--,--,--,--,--,0.00,--
4,--,--,--,0.28,--,0.13,0.28,--
5,--,--,--,0.17,--,--,0.17,--
6,--,--,--,--,--,--,--,--
7,0.08,--,--,0.35,0.10,0.21,0.35,--
