,ALBD,AND,AT,BNL,GRN,LN,QPL,TB
消极,0.054252199413489736,0.018132810585640775,0.10022953328232594,0.1078031212484994,0.09746883264072535,0.12039363484087102,0.09453539312889093,0.08476132190942473
中性,0.2001466275659824,0.2136731193334967,0.18311655190002551,0.19279711884753903,0.16433698526633925,0.24706867671691793,0.2838367535162555,0.18206854345165238
积极,0.7456011730205279,0.7681940700808625,0.7166539148176485,0.6993997599039616,0.7381941820929354,0.632537688442211,0.6216278533548536,0.7331701346389229
