,ALBD,AND,AT,BNL,GRN,LN,QPL,TB
消极,0.40764331210191085,0.38247011952191234,0.5012285012285013,0.4484732824427481,0.521594684385382,0.5317919075144508,0.48635235732009924,0.271889400921659
中性,0.10191082802547771,0.11155378486055777,0.1547911547911548,0.13549618320610687,0.09634551495016612,0.15895953757225434,0.21588089330024815,0.09216589861751152
积极,0.49044585987261147,0.5059760956175299,0.343980343980344,0.41603053435114506,0.38205980066445183,0.3092485549132948,0.2977667493796526,0.6359447004608295
