,ALBD,AND,AT,BNL,GRN,LN,QPL,TB
0,0.9654,1.0,0.9774,0.9493,0.9796,0.9852,0.9738,0.9674
1,0.0334,0.0,0.0191,0.016,0.0,0.0063,0.0252,0.0318
2,0.0013,0.0,0.0035,0.0347,0.0204,0.0086,0.0009,0.0009
