,0,1,2,3,4,5,6,7
1,0.13,1.18,0.18,0.05,1.3,0.18,0.0,0.84
2,0.61,0.0,0.53,0.85,0.0,0.55,1.17,0.15
3,-0.48,1.18,-0.35,-0.8,1.3,-0.37,-1.17,0.69
