,0,1,2,3,4,5,6,7
0,--,--,--,0.09,--,0.09,0.15,--
1,0.18,--,0.15,0.26,0.09,0.26,0.31,0.04
2,0.04,--,--,0.13,--,0.13,0.19,--
3,--,--,--,--,--,--,0.06,--
4,0.10,--,0.06,0.19,--,0.18,0.24,--
5,--,--,--,0.00,--,--,0.06,--
6,--,--,--,--,--,--,--,--
7,0.14,--,0.11,0.23,0.05,0.23,0.28,--
