,0,1,2,3,4,5,6,7
0,--,--,--,0.04,--,--,0.09,--
1,0.21,--,0.19,0.24,--,0.2,0.28,0.06
2,0.01,--,--,0.06,--,0.00,0.11,--
3,--,--,--,--,--,--,0.05,--
4,0.23,--,0.21,0.26,--,0.21,0.30,0.09
5,0.01,--,--,0.06,--,--,0.11,--
6,--,--,--,--,--,--,--,--
7,0.15,--,0.13,0.19,--,0.14,0.23,--
