,0,1,2,3,4,5,6,7
1,1.09,0.53,0.03,0.0,0.11,0.01,0.04,2.45
2,0.23,0.41,0.69,0.87,0.6,0.79,0.67,0.0
3,0.86,0.12,-0.66,-0.87,-0.49,-0.78,-0.63,2.45
