,ALBD,AND,AT,BNL,GRN,LN,QPL,TB
ALBD,--,FSD,FSD,FSD,FSD,FSD,FSD,--
AND,--,--,FSD,FSD,FSD,FSD,FSD,--
AT,--,--,--,FSD,--,SSD,--,--
BNL,--,--,--,--,--,--,--,--
GRN,--,--,--,FSD,--,FSD,--,--
LN,--,--,--,FSD,--,--,--,--
QPL,--,--,SSD,SSD,--,SSD,--,--
TB,SSD,SSD,SSD,SSD,SSD,SSD,FSD,--
