,0,1,2,3,4,5,6,7,8,9,10,11
ALBD,7.5,15.21,19.07,25.5,31.5,34.07,41.78,45.64,48.21,55.71,58.71,65.46
AND,9.0,18.0,27.0,34.71,42.42,51.42,57.85,66.85,75.85,75.85,84.85,91.6
AT,3.86,7.72,12.86,12.86,16.72,21.86,24.86,32.57,37.71,40.71,45.85,52.6
BNL,0.0,2.57,3.86,6.86,6.86,8.15,8.15,9.44,9.44,18.44,25.94,27.94
GRN,6.0,12.43,18.86,27.86,36.86,45.86,49.46,55.89,62.32,68.32,75.82,77.82
LN,2.57,3.86,6.43,7.72,10.29,14.15,15.44,18.01,21.87,23.16,26.16,30.66
QPL,0.0,0.0,0.0,3.0,4.29,4.29,8.79,8.79,10.08,14.58,15.87,24.87
TB,7.2,12.34,20.05,25.19,31.19,37.62,46.62,51.76,59.47,65.47,65.47,67.47
