,0,1,2,3,4,5,6,7,8,9,10,11
ALBD,6.43,7.71,3.86,2.57,7.5,6.0,7.71,2.57,3.86,6.75,3.0,7.5
AND,7.71,6.43,9.0,9.0,0.0,7.71,9.0,9.0,9.0,6.75,9.0,9.0
AT,0.0,3.0,5.14,5.14,3.0,3.86,3.86,5.14,7.71,6.75,5.14,3.86
BNL,3.0,0.0,1.29,1.29,9.0,0.0,2.57,0.0,1.29,2.0,7.5,0.0
GRN,9.0,3.6,6.43,9.0,6.0,9.0,6.43,6.43,6.43,2.0,7.5,6.0
LN,1.29,1.29,2.57,3.86,1.29,2.57,1.29,3.86,2.57,4.5,3.0,2.57
QPL,3.0,4.5,0.0,0.0,4.5,1.29,0.0,1.29,0.0,9.0,1.29,0.0
TB,5.14,9.0,7.71,6.43,6.0,6.0,5.14,7.71,5.14,2.0,0.0,7.2
