,ALBD,AND,AT,BNL,GRN,LN,QPL,TB
ALBD,--,--,--,FSD,--,--,SSD,--
AND,FSD,--,FSD,FSD,FSD,FSD,FSD,FSD
AT,FSD,--,--,FSD,--,FSD,FSD,--
BNL,--,--,--,--,--,--,--,--
GRN,FSD,--,FSD,FSD,--,FSD,FSD,--
LN,FSD,--,--,FSD,--,--,SSD,--
QPL,--,--,--,FSD,--,--,--,--
TB,FSD,--,FSD,FSD,FSD,FSD,FSD,--
