,0,1,2,3,4,5,6,7
0,--,--,--,0.35,--,--,0.20,--
1,0.26,--,0.13,0.52,0.08,0.25,0.41,0.00
2,0.15,--,--,0.44,--,0.14,0.32,--
3,--,--,--,--,--,--,--,--
4,0.19,--,0.05,0.48,--,0.18,0.36,--
5,0.01,--,--,0.35,--,--,0.21,--
6,--,--,--,0.18,--,--,--,--
7,0.25,--,0.12,0.51,0.07,0.25,0.41,--
