,0,1,2,3,4,5,6,7
0,--,--,0.14,0.09,--,0.14,0.10,0.00
1,0.03,--,0.17,0.13,--,0.17,0.14,0.04
2,--,--,--,--,--,--,--,--
3,--,--,0.05,--,--,0.04,--,--
4,0.05,0.02,0.19,0.15,--,0.19,0.15,0.06
5,--,--,0.00,--,--,--,--,--
6,--,--,0.04,--,--,0.03,--,--
7,--,--,0.14,0.09,--,0.13,0.10,--
