,ALBD,AND,AT,BNL,GRN,LN,QPL,TB
ALBD,--,--,--,SSD,--,SSD,SSD,--
AND,FSD,--,FSD,FSD,FSD,FSD,FSD,FSD
AT,FSD,--,--,FSD,FSD,FSD,FSD,FSD
BNL,--,--,--,--,--,--,FSD,--
GRN,FSD,--,--,FSD,--,FSD,FSD,SSD
LN,--,--,--,FSD,--,--,FSD,--
QPL,--,--,--,--,--,--,--,--
TB,FSD,--,--,FSD,--,FSD,FSD,--
