,ALBD,AND,AT,BNL,GRN,LN,QPL,TB
ALBD,--,FSD,FSD,FSD,FSD,FSD,--,FSD
AND,FSD,--,FSD,FSD,FSD,FSD,--,FSD
AT,FSD,FSD,--,FSD,FSD,FSD,--,FSD
BNL,--,--,--,--,FSD,--,--,FSD
GRN,--,--,--,FSD,--,--,--,FSD
LN,--,--,--,FSD,FSD,--,--,FSD
QPL,--,--,--,FSD,FSD,--,--,FSD
TB,--,--,--,FSD,FSD,--,--,--
