,ALBD,AND,AT,BNL,GRN,LN,QPL,TB
ALBD,--,--,FSD,FSD,FSD,FSD,FSD,FSD
AND,FSD,--,FSD,FSD,FSD,FSD,FSD,FSD
AT,--,--,--,FSD,--,FSD,FSD,--
BNL,--,--,--,--,--,FSD,FSD,--
GRN,--,--,FSD,FSD,--,FSD,FSD,FSD
LN,--,--,--,--,--,--,FSD,--
QPL,--,--,--,--,--,--,--,--
TB,--,--,FSD,FSD,--,FSD,FSD,--
