,ALBD,AND,AT,BNL,GRN,LN,QPL,TB
0,0.9553,0.8082,0.9196,0.8756,0.8735,0.9643,0.9785,1.0
1,0.0416,0.1893,0.037,0.0632,0.1021,0.0,0.0185,0.0
2,0.0031,0.0026,0.0433,0.0612,0.0244,0.0357,0.003,0.0
