,ALBD,AND,AT,BNL,GRN,LN,QPL,TB
ALBD,--,--,--,FSD,--,FSD,FSD,--
AND,FSD,--,FSD,FSD,FSD,FSD,FSD,FSD
AT,FSD,--,--,FSD,--,FSD,FSD,--
BNL,--,--,--,--,--,--,FSD,--
GRN,FSD,--,FSD,FSD,--,FSD,FSD,--
LN,--,--,--,SSD,--,--,FSD,--
QPL,--,--,--,--,--,--,--,--
TB,SSD,--,SSD,SSD,SSD,SSD,SSD,--
