,ALBD,AND,AT,BNL,GRN,LN,QPL,TB
0,0.0728,0.0497,0.0994,0.1635,0.0497,0.152,0.1592,0.0822
1,0.1175,0.0735,0.0648,0.1983,0.0475,0.0799,0.1516,0.0435
2,0.8097,0.8769,0.8358,0.6382,0.9027,0.7681,0.6892,0.8743
