,0,1,2,3,4,5,6,7
0,--,--,0.06,0.11,0.01,0.17,0.19,0.02
1,0.07,--,0.13,0.18,0.09,0.23,0.25,0.10
2,--,--,--,0.05,--,0.12,0.13,--
3,--,--,--,--,--,0.06,0.08,--
4,--,--,0.04,0.09,--,0.15,0.17,0.00
5,--,--,--,--,--,--,0.01,--
6,--,--,--,--,--,--,--,--
7,--,--,0.03,0.08,--,0.15,0.16,--
