,0,1,2,3,4,5,6,7,8,9,10,11
0,--,1,--,--,1,--,--,--,--,1,1,--
1,--,--,--,--,0.98,--,--,--,--,0.39,--,--
2,--,1,--,--,1,--,--,--,--,1,1,0.09
3,0.37,1,0.04,--,1,--,--,--,--,1,1,0.14
4,--,--,--,--,--,--,--,--,--,--,--,--
5,0.30,1,--,--,1,--,--,--,--,1,1,0.07
6,0.27,1,--,--,1,--,--,--,--,1,1,0.04
7,0.63,1,0.30,0.26,1,--,--,--,0.26,1,1,0.40
8,0.37,1,0.04,--,1,--,--,--,--,1,1,0.14
9,--,--,--,--,0.59,--,--,--,--,--,--,--
10,--,--,--,--,0.71,--,--,--,--,0.12,--,--
11,--,1,--,--,1,--,--,--,--,1,1,--
